"Locatie";"Tagnaam";"Datum";"Tijd (Europe/Amsterdam)";"Waarde";"Valid flag"
"DYLP029A";"B1_mwf";"2016-09-07";"00:00:00";"1008";""
"DYLP029A";"B1_mwf";"2016-09-07";"01:00:00";"1004,3";""
"DYLP029A";"B1_mwf";"2016-09-07";"02:00:00";"1001,58";""
"DYLP029A";"B1_mwf";"2016-09-07";"03:00:00";"999,95";""
"DYLP029A";"B1_mwf";"2016-09-07";"04:00:00";"999,33";""
"DYLP029A";"B1_mwf";"2016-09-07";"05:00:00";"999,65";""
"DYLP029A";"B1_mwf";"2016-09-07";"06:00:00";"999,95";""
"DYLP029A";"B1_mwf";"2016-09-07";"07:00:00";"998,53";""
"DYLP029A";"B1_mwf";"2016-09-07";"08:00:00";"996,58";""
"DYLP029A";"B1_mwf";"2016-09-07";"09:00:00";"997,9";""
"DYLP029A";"B1_mwf";"2016-09-07";"10:00:00";"1004,33";""
"DYLP029A";"B1_mwf";"2016-09-07";"11:00:00";"1014,3";""
"DYLP029A";"B1_mwf";"2016-09-07";"12:00:00";"1023,3";""
"DYLP029A";"B1_mwf";"2016-09-07";"13:00:00";"1030,85";""
"DYLP029A";"B1_mwf";"2016-09-07";"14:00:00";"1039,53";""
"DYLP029A";"B1_mwf";"2016-09-07";"15:00:00";"1042,97";""
"DYLP029A";"B1_mwf";"2016-09-07";"18:00:00";"1042,8";""
"DYLP029A";"B1_mwf";"2016-09-07";"21:00:00";"1022,9";""
"DYLP029A";"B1_mwf";"2016-09-08";"00:00:00";"1004,53";""
"DYLP029A";"B1_mwf";"2016-09-08";"03:00:00";"996,58";""
"DYLP029A";"B1_mwf";"2016-09-08";"06:00:00";"990,68";""
"DYLP029A";"B1_mwf";"2016-09-08";"08:00:00";"987,7";""
"DYLP029A";"B1_mwf";"2016-09-08";"09:00:00";"990,48";""
"DYLP029A";"B1_mwf";"2016-09-08";"10:00:00";"1000,25";""
"DYLP029A";"B1_mwf";"2016-09-08";"11:00:00";"1013,1";""
"DYLP029A";"B1_mwf";"2016-09-08";"12:00:00";"1025,3";""
"DYLP029A";"B1_mwf";"2016-09-08";"13:00:00";"1035,43";""
"DYLP029A";"B1_mwf";"2016-09-08";"14:00:00";"1046,55";""
"DYLP029A";"B1_mwf";"2016-09-08";"15:00:00";"1051,15";""
"DYLP029A";"B1_mwf";"2016-09-08";"18:00:00";"1048,18";""
"DYLP029A";"B1_mwf";"2016-09-08";"21:00:00";"1027,47";""
"DYLP029A";"B1_mwf";"2016-09-09";"00:00:00";"1002,9";""
"DYLP029A";"B1_mwf";"2016-09-09";"03:00:00";"988,73";""
"DYLP029A";"B1_mwf";"2016-09-09";"06:00:00";"982";""
"DYLP029A";"B1_mwf";"2016-09-09";"08:00:00";"979,55";""
"DYLP029A";"B1_mwf";"2016-09-09";"09:00:00";"982,73";""
"DYLP029A";"B1_mwf";"2016-09-09";"10:00:00";"993,63";""
"DYLP029A";"B1_mwf";"2016-09-09";"11:00:00";"1004,13";""
"DYLP029A";"B1_mwf";"2016-09-09";"12:00:00";"1013,83";""
"DYLP029A";"B1_mwf";"2016-09-09";"13:00:00";"1021,25";""
"DYLP029A";"B1_mwf";"2016-09-09";"14:00:00";"1030,22";""
"DYLP029A";"B1_mwf";"2016-09-09";"15:00:00";"1033,5";""
"DYLP029A";"B1_mwf";"2016-09-09";"18:00:00";"1031,88";""
"DYLP029A";"B1_mwf";"2016-09-09";"21:00:00";"1012,6";""
"DYLP029A";"B1_mwf";"2016-09-10";"00:00:00";"994,25";""
"DYLP029A";"B1_mwf";"2016-09-10";"01:00:00";"990,48";""
"DYLP029A";"B1_mwf";"2016-09-10";"02:00:00";"987,4";""
"DYLP029A";"B1_mwf";"2016-09-10";"03:00:00";"984,65";""
"DYLP029A";"B1_mwf";"2016-09-10";"04:00:00";"982,4";""
"DYLP029A";"B1_mwf";"2016-09-10";"05:00:00";"980,48";""
"DYLP029A";"B1_mwf";"2016-09-10";"06:00:00";"978,75";""
"DYLP029A";"B1_mwf";"2016-09-10";"07:00:00";"977,3";""
"DYLP029A";"B1_mwf";"2016-09-10";"08:00:00";"976,5";""
"DYLP029A";"B1_mwf";"2016-09-10";"09:00:00";"979,55";""
"DYLP029A";"B1_mwf";"2016-09-10";"10:00:00";"989,45";""
"DYLP029A";"B1_mwf";"2016-09-10";"11:00:00";"1002,9";""
"DYLP029A";"B1_mwf";"2016-09-10";"12:00:00";"1015,25";""
"DYLP029A";"B1_mwf";"2016-09-10";"13:00:00";"1026,88";""
